Run ID,Date,Model,Patch,Dim,Batch,Accum,Eff Batch,LR,Min LR,Warmup,T-Temp,Gram,Status,Notes,Device,Commit
20260109_162920_4090_512px_DeepFreeze,2026-01-09 21:29:20 UTC,vit-large,14,1024,16,16,256,2e-05,1e-06,3000,0.02,1.0,Running,,NVIDIA GeForce RTX 4090,1f31284
20260109_104007_4090_LowLR_IceAge,2026-01-09 15:40:07 UTC,vit-large,14,1024,64,4,256,5e-05,1e-06,1000,0.02,1.0,Completed,Success. Best stability. Found Golden Zone LR ~2e-5. Drifted up at 5e-5.,NVIDIA GeForce RTX 4090,1f31284
20260108_203723_4090_IceAge,2026-01-09 01:37:23 UTC,vit-large,14,1024,64,4,256,0.0002,1e-06,1000,0.02,1.0,Completed,Success! Broken entropy wall (6.78). Frozen Teacher (0.9995) + Sharp Temp (0.02).,NVIDIA GeForce RTX 4090,1f31284
20260108_175149_4090_dim2048_test,2026-01-08 22:51:49 UTC,vit-large,14,1024,64,4,256,0.0002,1e-06,1000,0.04,1.0,Completed,,NVIDIA GeForce RTX 4090,1f31284
20260108_084549_4090_224px_slower,2026-01-08 13:45:49 UTC,vit-large,14,1024,64,4,256,0.0002,1e-06,5000,0.05,1.0,Completed,,NVIDIA GeForce RTX 4090,10cbf70
20260108_003002_amd395_giant_prod_run,2026-01-09 02:12:07 UTC,vit-large,14,1024,64,4,256,0.0002,1e-06,5000,0.04,1.0,Completed,,AMD Radeon Graphics,4a4d3c9
20260107_211157_4090_224px,2026-01-08 02:11:57 UTC,vit-large,14,1024,64,4,256,0.0005,1e-06,2500,0.05,1.0,Stopped,Failed. Flatlined at 9.01. LR 5e-4 too high.,NVIDIA GeForce RTX 4090,4a4d3c9
20260107_181724_4090_warm_up_test,2026-01-07 23:17:24 UTC,vit-large,16,1024,16,16,256,0.0001,1e-06,200,0.03,1.0,Completed,Success/Stopped. Proof of throughput. Hit 9.01 wall. Backbone good.,NVIDIA GeForce RTX 4090,198a756
20260107_181716_4090_warm_up_test,2026-01-07 23:17:16 UTC,vit-large,16,1024,16,16,256,0.0001,1e-06,2500,0.03,1.0,Stopped,,NVIDIA GeForce RTX 4090,198a756
20260106_223221_4090_large_teacher0-015,2026-01-07 03:32:21 UTC,vit-large,16,1024,16,16,256,0.0005,,,0.015,1.0,Completed,,NVIDIA GeForce RTX 4090,198a756
20260104_194515_4090_large_teacher0-03,2026-01-05 00:45:15 UTC,vit-large,16,1024,16,16,256,0.0001,,,0.03,1.0,Stopped,,NVIDIA GeForce RTX 4090,198a756
20260104_181120_amd395_giant_64x4,2026-01-07 03:30:54 UTC,vit-large,14,1024,64,4,256,0.0005,,,0.02,1.0,Completed,,AMD Radeon Graphics,198a756
20260104_170333_amd395_giant_128x2,2026-01-04 17:03:33 UTC,vit-large,14,1024,128,2,256,0.0005,,,0.02,1.0,Stopped,,AMD Radeon Graphics,0d8ee7c
20260104_165932_amd395_giant_128x2,2026-01-04 16:59:32 UTC,vit-large,14,1024,128,2,256,0.0005,,,0.02,1.0,Stopped,,AMD Radeon Graphics,0d8ee7c
20260104_145936,2026-01-04 14:59:36 UTC,vit-large,14,1024,16,16,256,0.0005,,,0.04,1.0,Stopped,,AMD Radeon Graphics,d07fc5e
20260104_123726_4090_large_teacher0-025,2026-01-04 17:37:26 UTC,vit-large,16,1024,16,16,256,0.0005,,,0.025,1.0,Completed,,NVIDIA GeForce RTX 4090,198a756
20260104_110654_4090_large_teacher0-02,2026-01-04 16:06:54 UTC,vit-large,16,1024,16,16,256,0.0005,,,0.02,1.0,Completed,,NVIDIA GeForce RTX 4090,198a756
20260104_093402,2026-01-04 14:34:02 UTC,vit-large,16,1024,16,16,256,0.0005,,,0.04,1.0,Completed,,NVIDIA GeForce RTX 4090,d07fc5e
20260103_175300,2026-01-03 22:53:00 UTC,vit-large,16,1024,16,16,256,0.0001,,,0.04,1.0,Completed,,NVIDIA GeForce RTX 4090,d07fc5e
20260103_165249,2026-01-03 21:52:49 UTC,vit-large,16,1024,16,16,256,0.0001,,,0.04,1.0,Completed,,NVIDIA GeForce RTX 4090,d07fc5e
20260103_163425,2026-01-03 21:38:42 UTC,vit-large,16,1024,16,16,256,0.0001,,,0.04,1.0,Completed,,NVIDIA GeForce RTX 4090,4b542d0
20260103_162833,2026-01-03 21:28:33 UTC,vit-large,16,1024,16,16,256,0.0001,,,0.04,1.0,Stopped,,NVIDIA GeForce RTX 4090,4b542d0
20260103_155511,2026-01-03 20:55:11 UTC,vit-large,16,1024,16,16,256,0.0001,,,0.04,1.0,Completed,,NVIDIA GeForce RTX 4090,9d094f4
20260103_155138,2026-01-03 20:51:38 UTC,vit-large,14,1024,16,16,256,0.0001,,,0.04,1.0,Completed,,NVIDIA GeForce RTX 4090,9d094f4
20260103_155103,2026-01-03 20:51:03 UTC,vit-large,14,1024,32,8,256,0.0001,,,0.04,1.0,Stopped,,NVIDIA GeForce RTX 4090,9d094f4
